feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.215,1.9304999999999999,1.893,1.593,1.503
jam_s0,3.5895,-0.19999999999999998,4.61,4.186,4.0835,4.5055,4.411
v_freeflow_rel,0.8276,0.9999999999999999,0.7538,0.7753,0.7891,0.8027,0.80325
pet,3.4,-0.7905694150420949,2.3,2.3,2.1,2.0,2.1
min_ttc,5.5415,-0.9999999999999999,3.0425,3.018,2.7915,2.558,2.507
mrd,0.23,0.8999999999999998,0.728,0.665,0.805,0.87,0.901
speed_ff,10.5165,0.9999999999999999,10.838999999999999,11.5145,11.612,11.939,12.037500000000001
speed_fol,5.833,0.9999999999999999,2.365,2.592,2.759,2.939,3.2405
speed_zone,5.108,0.9999999999999999,6.712,7.0545,7.286,7.4475,7.67
accel_ff,2.512,0.0,3.4835000000000003,3.606,3.5925000000000002,3.567,3.532
accel_fol,0.933,0.8999999999999998,1.659,1.723,1.699,1.727,1.805
accel_zone,1.102,0.9999999999999999,2.254,2.2975000000000003,2.298,2.3064999999999998,2.376
pet,3.5,-0.6668859288553503,2.4,2.4,2.2,2.1,2.3499999999999996
min_ttc,6.324,-0.8999999999999998,2.96,3.05,2.681,2.606,2.554
mrd,0.192,0.7999999999999999,0.644,0.5734999999999999,0.786,0.781,0.802
pet,3.2,-0.7071067811865475,1.95,1.9,1.9,1.9,1.9
min_ttc,4.601,-0.8999999999999998,3.154,2.932,2.949,2.4545,2.406
mrd,0.307,0.3,1.15,0.974,0.854,1.095,1.2255
